averageMonthlyIncome,Unemployment_Rate_Age,Unemployment_Rate_Gender,Unemployment_Rate_Education,Government_expenditure_total,CPI_values,Unemployment_rate
2925.00,0.62,0.55,0.58,9697793,91.9951667,3.89
3142.00,0.62,0.65,0.62,9637312,96.2045,3.72
3204.00,0.64,0.6,0.64,10664868,98.4735833,3.86
3418.00,0.56,0.55,0.54,10712445,99.4830833,3.74
3624.00,0.62,0.55,0.56,11235741,98.9631667,3.79
3688.00,0.78,0.75,0.72,11812194,98.4364167,4.08
3835.00,0.76,0.75,0.74,12079538,99.0036667,4.2
3969.00,0.72,0.7,0.66,12429006,99.4379167,4.02
4115.00,0.78,0.7,0.74,12039000,100,4.11
4022.00,0.94,0.95,0.94,12010300,99.8180833,4.38
